epoch,T2_test_spatial0,T2_test_spatial001,T3_test_spatial0,T3_test_spatial001
1,0.6338825331350645,0.6020475474269489,0.6709636932129829,0.7228650898983808
2,0.5753213003476839,0.5948331096396257,0.7009957781622728,0.7411798661108582
3,0.5799547345083107,0.6026313702239144,0.7427015680846714,0.7583221067280915
4,0.48774164821828614,0.5576173885742653,0.7522914212397015,0.7815458688659158
5,0.5917223752887723,0.5788573884690047,0.7972511852671414,0.7849975682879544
6,0.5707279967892213,0.5889887699361691,0.7225880694605323,0.7866962925899624
7,0.539451287322673,0.553541811574549,0.7895872135158953,0.7991333521618925
8,0.562376597076309,0.5428559793490978,0.8051645710536278,0.7686354357422605
9,0.5606651891855776,0.5566848655952898,0.8167744095855448,0.8082961491592807
10,0.5744949532880389,0.5832706403476037,0.818899890866135,0.8227560974827461
